股票代码	雅虎代码	公司名称	交易所
300189	300189.SZ	神农种业	SZ
600941	600941.SS	中国移动	SH
300816	300816.SZ	艾可蓝	SZ
300979	300979.SZ	华利集团	SZ
300435	300435.SZ	中泰股份	SZ
002633	002633.SZ	申科股份	SZ
603356	603356.SS	华菱精工	SH
603365	603365.SS	水星家纺	SH
300977	300977.SZ	深圳瑞捷	SZ
600350	600350.SS	山东高速	SH
600706	600706.SS	曲江文旅	SH
301037	301037.SZ	保立佳	SZ
002582	002582.SZ	好想你	SZ
600893	600893.SS	航发动力	SH
002847	002847.SZ	盐津铺子	SZ
600299	600299.SS	安迪苏	SH
000010	000010.SZ	美丽生态	SZ
002027	002027.SZ	分众传媒	SZ
688188	688188.SS	柏楚电子	SH
002988	002988.SZ	豪美新材	SZ
688408	688408.SS	中信博	SH
601028	601028.SS	玉龙股份	SH
300131	300131.SZ	英唐智控	SZ
002748	002748.SZ	ST世龙	SZ
000968	000968.SZ	蓝焰控股	SZ
600777	600777.SS	ST新潮	SH
600303	600303.SS	ST曙光	SH
000851	000851.SZ	ST高鸿	SZ
600486	600486.SS	扬农化工	SH
301209	301209.SZ	联合化学	SZ
300229	300229.SZ	拓尔思	SZ
002078	002078.SZ	太阳纸业	SZ
000582	000582.SZ	北部湾港	SZ
600190	600190.SS	ST锦港	SH
002867	002867.SZ	周大生	SZ
600405	600405.SS	动力源	SH
002317	002317.SZ	众生药业	SZ
603759	603759.SS	海天股份	SH
002198	002198.SZ	嘉应制药	SZ
600760	600760.SS	中航沈飞	SH
605566	605566.SS	福莱蒽特	SH
001217	001217.SZ	华尔泰	SZ
600750	600750.SS	江中药业	SH
600193	600193.SS	创兴资源	SH
603398	603398.SS	沐邦高科	SH
603657	603657.SS	春光科技	SH
603231	603231.SS	索宝蛋白	SH
000692	000692.SZ	惠天热电	SZ
600886	600886.SS	国投电力	SH
600323	600323.SS	瀚蓝环境	SH
605368	605368.SS	蓝天燃气	SH
603388	603388.SS	ST元成	SH
603130	603130.SS	云中马	SH
603536	603536.SS	惠发食品	SH
601727	601727.SS	上海电气	SH
605298	605298.SS	必得科技	SH
002041	002041.SZ	登海种业	SZ
600814	600814.SS	杭州解百	SH
000838	000838.SZ	财信发展	SZ
300179	300179.SZ	四方达	SZ
300471	300471.SZ	厚普股份	SZ
603879	603879.SS	ST永悦	SH
301208	301208.SZ	中亦科技	SZ
600160	600160.SS	巨化股份	SH
600007	600007.SS	中国国贸	SH
600423	600423.SS	柳化股份	SH
300208	300208.SZ	*ST中程	SZ
002014	002014.SZ	永新股份	SZ
301061	301061.SZ	匠心家居	SZ
603535	603535.SS	嘉诚国际	SH
603369	603369.SS	今世缘	SH
600408	600408.SS	安泰集团	SH
301237	301237.SZ	和顺科技	SZ
688196	688196.SS	卓越新能	SH
300096	300096.SZ	ST易联众	SZ
603031	603031.SS	安孚科技	SH
600674	600674.SS	川投能源	SH
600828	600828.SS	茂业商业	SH
603159	603159.SS	上海亚虹	SH
603053	603053.SS	成都燃气	SH
600602	600602.SS	云赛智联	SH
603822	603822.SS	嘉澳环保	SH
002911	002911.SZ	佛燃能源	SZ
603200	603200.SS	上海洗霸	SH
603180	603180.SS	金牌家居	SH
002541	002541.SZ	鸿路钢构	SZ
001234	001234.SZ	泰慕士	SZ
605499	605499.SS	东鹏饮料	SH
000157	000157.SZ	中联重科	SZ
605398	605398.SS	新炬网络	SH
600917	600917.SS	重庆燃气	SH
300910	300910.SZ	瑞丰新材	SZ
300566	300566.SZ	激智科技	SZ
000546	000546.SZ	金圆股份	SZ
600690	600690.SS	海尔智家	SH
300581	300581.SZ	晨曦航空	SZ
603557	603557.SS	ST起步	SH
603272	603272.SS	联翔股份	SH
600449	600449.SS	宁夏建材	SH
001202	001202.SZ	炬申股份	SZ
002327	002327.SZ	富安娜	SZ
600802	600802.SS	福建水泥	SH
600377	600377.SS	宁沪高速	SH
688302	688302.SS	海创药业-U	SH
601107	601107.SS	四川成渝	SH
603223	603223.SS	恒通股份	SH
301617	301617.SZ	博苑股份	SZ
600612	600612.SS	老凤祥	SH
600236	600236.SS	桂冠电力	SH
000593	000593.SZ	德龙汇能	SZ
300876	300876.SZ	蒙泰高新	SZ
600375	600375.SS	*ST汉马	SH
301428	301428.SZ	世纪恒通	SZ
000802	000802.SZ	北京文化	SZ
601808	601808.SS	中海油服	SH
002830	002830.SZ	名雕股份	SZ
001965	001965.SZ	招商公路	SZ
300333	300333.SZ	兆日科技	SZ
002032	002032.SZ	苏 泊 尔	SZ
002244	002244.SZ	滨江集团	SZ
601928	601928.SS	凤凰传媒	SH
002127	002127.SZ	南极电商	SZ
002697	002697.SZ	红旗连锁	SZ
600529	600529.SS	山东药玻	SH
002390	002390.SZ	信邦制药	SZ
603358	603358.SS	华达科技	SH
601898	601898.SS	中煤能源	SH
000004	000004.SZ	国华网安	SZ
001225	001225.SZ	和泰机电	SZ
301004	301004.SZ	嘉益股份	SZ
600282	600282.SS	南钢股份	SH
000151	000151.SZ	中成股份	SZ
002708	002708.SZ	光洋股份	SZ
300779	300779.SZ	惠城环保	SZ
000711	000711.SZ	*ST京蓝	SZ
301062	301062.SZ	上海艾录	SZ
603076	603076.SS	乐惠国际	SH
300307	300307.SZ	慈星股份	SZ
603291	603291.SS	联合水务	SH
600199	600199.SS	金种子酒	SH
300843	300843.SZ	胜蓝股份	SZ
605377	605377.SS	华旺科技	SH
002005	002005.SZ	ST德豪	SZ
601566	601566.SS	九牧王	SH
600256	600256.SS	广汇能源	SH
600266	600266.SS	城建发展	SH
001324	001324.SZ	长青科技	SZ
000752	000752.SZ	ST西发	SZ
002572	002572.SZ	索菲亚	SZ
000656	000656.SZ	*ST金科	SZ
002563	002563.SZ	森马服饰	SZ
688719	688719.SS	爱科赛博	SH
688628	688628.SS	优利德	SH
000798	000798.SZ	中水渔业	SZ
301628	301628.SZ	强达电路	SZ
600066	600066.SS	宇通客车	SH
603156	603156.SS	养元饮品	SH
603712	603712.SS	七一二	SH
600461	600461.SS	洪城环境	SH
603229	603229.SS	奥翔药业	SH
300137	300137.SZ	ST先河	SZ
002200	002200.SZ	ST交投	SZ
301273	301273.SZ	瑞晨环保	SZ
605169	605169.SS	洪通燃气	SH
002304	002304.SZ	洋河股份	SZ
002269	002269.SZ	美邦服饰	SZ
002575	002575.SZ	群兴玩具	SZ
002946	002946.SZ	新乳业	SZ
001299	001299.SZ	美能能源	SZ
000622	000622.SZ	*ST恒立	SZ
002488	002488.SZ	金固股份	SZ
603496	603496.SS	恒为科技	SH
600406	600406.SS	国电南瑞	SH
603199	603199.SS	九华旅游	SH
600900	600900.SS	长江电力	SH
002318	002318.SZ	久立特材	SZ
688639	688639.SS	华恒生物	SH
002568	002568.SZ	百润股份	SZ
000712	000712.SZ	锦龙股份	SZ
603855	603855.SS	华荣股份	SH
600885	600885.SS	宏发股份	SH
301078	301078.SZ	孩子王	SZ
301007	301007.SZ	德迈仕	SZ
002731	002731.SZ	萃华珠宝	SZ
600797	600797.SS	浙大网新	SH
600660	600660.SS	福耀玻璃	SH
600545	600545.SS	卓郎智能	SH
600428	600428.SS	中远海特	SH
002486	002486.SZ	嘉麟杰	SZ
002207	002207.SZ	准油股份	SZ
688197	688197.SS	首药控股-U	SH
002595	002595.SZ	豪迈科技	SZ
301152	301152.SZ	天力锂能	SZ
688200	688200.SS	华峰测控	SH
001979	001979.SZ	招商蛇口	SZ
002700	002700.SZ	ST浩源	SZ
301498	301498.SZ	乖宝宠物	SZ
002586	002586.SZ	*ST围海	SZ
603269	603269.SS	海鸥股份	SH
003000	003000.SZ	劲仔食品	SZ
001331	001331.SZ	胜通能源	SZ
688235	688235.SS	百济神州-U	SH
000860	000860.SZ	顺鑫农业	SZ
600593	600593.SS	大连圣亚	SH
000953	000953.SZ	河化股份	SZ
605599	605599.SS	菜百股份	SH
603520	603520.SS	司太立	SH
600671	600671.SS	ST目药	SH
688165	688165.SS	埃夫特-U	SH
002601	002601.SZ	龙佰集团	SZ
002715	002715.SZ	登云股份	SZ
601098	601098.SS	中南传媒	SH
600887	600887.SS	伊利股份	SH
688768	688768.SS	容知日新	SH
002884	002884.SZ	凌霄泵业	SZ
600018	600018.SS	上港集团	SH
002311	002311.SZ	海大集团	SZ
600537	600537.SS	亿晶光电	SH
688633	688633.SS	星球石墨	SH
000619	000619.SZ	海螺新材	SZ
002995	002995.SZ	天地在线	SZ
001283	001283.SZ	豪鹏科技	SZ
600838	600838.SS	上海九百	SH
603511	603511.SS	爱慕股份	SH
300557	300557.SZ	理工光科	SZ
688162	688162.SS	巨一科技	SH
603215	603215.SS	比依股份	SH
000407	000407.SZ	胜利股份	SZ
002639	002639.SZ	雪人股份	SZ
603198	603198.SS	迎驾贡酒	SH
002069	002069.SZ	獐子岛	SZ
002818	002818.SZ	富森美	SZ
600897	600897.SS	厦门空港	SH
603099	603099.SS	长白山	SH
300679	300679.SZ	电连技术	SZ
000989	000989.SZ	ST九芝	SZ
301059	301059.SZ	金三江	SZ
002742	002742.SZ	ST三圣	SZ
601156	601156.SS	东航物流	SH
600968	600968.SS	海油发展	SH
002290	002290.SZ	禾盛新材	SZ
600121	600121.SS	郑州煤电	SH
300419	300419.SZ	ST浩丰	SZ
000829	000829.SZ	天音控股	SZ
603909	603909.SS	建发合诚	SH
600250	600250.SS	南京商旅	SH
688187	688187.SS	时代电气	SH
600319	600319.SS	亚星化学	SH
002895	002895.SZ	川恒股份	SZ
000803	000803.SZ	山高环能	SZ
300989	300989.SZ	蕾奥规划	SZ
